id,name,original_season_id,link_image
Q377,The Macarena,F18S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/7b/TheMacarenaDRE1CastMug.jpeg
Q202,Veneno,F12S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/7b/VenenoTSDR1CastMug.png
Q361,Elektra Shock,F17S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/7c/ElektraShockDRDU1CastMug.jpg
Q237,Morrigan,F13S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/7c/MorriganDRT1CastMug.png
Q145,Willam,F10S04,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/7c/WillamS4CastMug.jpg
Q342,Symone,F10S13,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/7d/SymoneS13CastMug.jpg
Q351,Ginny Lemon,F14S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/7e/GinnyLemonDRUK2CastMug.jpg
Q157,Roxxxy Andrews,F10S05,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/7e/RoxxxyAndrewsS5CastMug.jpg
Q118,Shangela,F10S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/7/7f/ShangelaS2CastMug.png
Q460,Halal Bae,F15S03,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/80/HalalBaeCDR3CastMug.jpg
Q189,Arianda Sodi,F12S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/81/AriandaSodiTSDR1CastMug.png
Q289,Blu Hydrangea,F14S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/81/BluHydrangeaDRUK1CastMug.jpg
Q231,Année Maywong,F13S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/83/Ann%C3%A9eMaywongDRT1CastMug.png
Q179,Kennedy Davenport,F10S07,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/83/KennedyDavenportS7CastMug.png
Q229,Valentina,F10S09,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/83/ValentinaS9CastMug.jpg
Q445,Venedita Von Däsh,F18S02,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/83/VeneditaVonD%C3%A4shDRE2CastMug.jpg
Q414,Enorma Jean,F19S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/86/EnormaJeanDRI1CastMug.jpg
Q364,Karen from Finance,F17S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/86/KarenFromFinanceDRDU1CastMug.jpg
Q374,Killer Queen,F18S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/86/KillerQueenDRE1CastMug.jpeg
Q316,Kiara,F15S01,https://static.wikia.nocookie.net/logosrupaulsdragrace/images/8/87/KiaraCDR1CastMug.jpg
